Value of n,Insertion sort (seconds),Merge sort (seconds),Hybrid Merge sort (seconds),Selection sort (seconds),Bubble sort (seconds)
100,0.0,0.0009937286376953125,0.0,0.0,0.0
1000,0.018010377883911133,0.0009958744049072266,0.0009844303131103516,0.027003765106201172,0.037000179290771484
5000,0.3870084285736084,0.007995843887329102,0.006002187728881836,0.5589950084686279,1.0960028171539307
10000,1.7590012550354004,0.018995285034179688,0.014003992080688477,2.117955207824707,3.9088776111602783
20000,6.169013023376465,0.03698587417602539,0.028996706008911133,7.878945350646973,15.24779462814331
30000,13.88200330734253,0.05700421333312988,0.046000003814697266,17.730369091033936,34.01592206954956
40000,24.547910451889038,0.08000731468200684,0.06299948692321777,30.832061529159546,60.75382375717163
50000,39.50434398651123,0.1069028377532959,0.08604621887207031,49.88628029823303,107.04730701446533
100000,173.03862261772156,0.22210216522216797,0.1794593334197998,299.08695459365845,585.0284898281097
